Filename,dupv,df,auv,uav,bf,uaf,dbz,asom,an,osf,ua,da,saigv,bd,mlk,pitfc,dnp,rsva,rogu,obaa,fgbo
gst/gstdebugutils.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
tools/gst-inspect.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gst/gstpluginloader.c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gst/gsttaglist.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gst/gstpoll.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plugins/elements/gstmultiqueue.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tools/gst-launch.c,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libs/gst/base/gstbaseparse.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tests/benchmarks/complexity.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
libs/gst/check/libcheck/check_run.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
libs/gst/check/gstcheck.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
libs/gst/check/libcheck/check_pack.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gst/gstvalue.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
plugins/elements/gsttypefindelement.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
gst/gstelement.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tests/examples/streams/rtpool-test.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gst/gstevent.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gst/gstregistrychunks.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
libs/gst/base/gstbasesink.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gst/gsturi.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
libs/gst/check/libcheck/check_log.c,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
gst/gstclock.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gst/printf/vasnprintf.c,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
libs/gst/base/gstbasesrc.c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
gst/gstutils.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gst/gstpad.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
