Filename,mlk,asom,rsva,bd,uaf,osf,dnp,da,obaa,dupv,auv,uav,an,df,dbz,fgbo,saigv,rogu,ua,pitfc,bf
src/rsh.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
telnet/sys_bsd.c,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
telnetd/telnetd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
libls/ls.c,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
telnet/telnet.c,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
libinetutils/ttymsg.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ping/ping6.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/xmalloc.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/rshd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftpd/ftpcmd.c,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
lib/localcharset.c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/inetd.c,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
src/syslogd.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
talk/ctl_transact.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ftpd/popen.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/rexecd.c,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/uucpd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
src/traceroute.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
src/rlogin.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lib/argp-help.c,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0
src/rcp.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
ping/ping.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftp/cmds.c,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
whois/whois.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/rexec.c,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
src/tftp.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lib/vasnprintf.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftpd/ftpd.c,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
libinetutils/argcv.c,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
talk/get_addrs.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
src/rlogind.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/logger.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ftp/ftp.c,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
libls/print.c,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
talkd/table.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libls/fts.c,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tests/identify.c,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
telnet/commands.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
