Filename,auv,fgbo,osf,bd,uaf,dnp,da,an,asom,rogu,pitfc,ua,rsva,dupv,df,mlk,saigv,dbz,obaa,bf,uav
scp.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sshconnect2.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
packet.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssh-agent.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sshd.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cipher-3des1.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sshkey.c,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sftp-client.c,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authfile.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssh-rsa.c,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
channels.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
session.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
servconf.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sftp.c,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
openbsd-compat/getrrsetbyname.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sshbuf.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
monitor_mm.c,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readconf.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
key.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umac.c,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uidswap.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openbsd-compat/port-tun.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krl.c,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
