Filename,uav,fgbo,an,dbz,bd,auv,rogu,pitfc,uaf,rsva,obaa,da,asom,saigv,dupv,dnp,ua,bf,osf,df,mlk
Objects/frameobject.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Python/dtoa.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Modules/operator.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Objects/typeobject.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Python/ast.c,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Modules/_sqlite/cursor.c,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Python/errors.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Modules/arraymodule.c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/_ctypes/callbacks.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Parser/myreadline.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Modules/_sqlite/statement.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Objects/setobject.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Parser/firstsets.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Python/codecs.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Modules/cjkcodecs/multibytecodec.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Objects/exceptions.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Modules/_sre.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python/import.c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Objects/stringlib/formatter.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/expat/xmltok.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Objects/stringobject.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Modules/_hotshot.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parser/pgen.c,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0
Parser/grammar.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Modules/socketmodule.c,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Python/compile.c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
Modules/expat/xmlparse.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Objects/listobject.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
Python/pystate.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Modules/audioop.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/pyexpat.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Modules/_ctypes/cfield.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Python/marshal.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Python/sysmodule.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Objects/longobject.c,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Modules/cjkcodecs/_codecs_iso2022.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Objects/unicodeobject.c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Python/ceval.c,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Python/traceback.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modules/cPickle.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
