Filename,an,pitfc,ua,df,bd,auv,da,rogu,fgbo,bf,dbz,obaa,rsva,uav,saigv,uaf,osf,dnp,mlk,dupv,asom
io.c,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,1,0,0,0
ext/ripper/ripper.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshal.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ext/objspace/objspace.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
file.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/bigdecimal/bigdecimal.c,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vm.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/json/parser/parser.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
load.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transcode.c,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strftime.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/racc/cparse/cparse.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dir.c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vm.inc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/nkf/nkf-utf8/nkf.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/readline/readline.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regcomp.c,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0
ext/date/date_strftime.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variable.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
gc.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
addr2line.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/openssl/ossl_pkcs12.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
string.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
process.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parse.c,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compile.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoding.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ext/json/generator/generator.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regparse.c,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0
array.c,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dln_find.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bignum.c,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
util.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
enc/unicode.c,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pack.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vm_dump.c,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cont.c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ext/stringio/stringio.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vm_insnhelper.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
st.c,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proc.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
re.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
eval.c,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regexec.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ext/sdbm/_sdbm.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
